year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2001,5,3,0,0,Illinois,,,,,Private home/residence,
2011,5,209,0,52,Multistate,Salmonella enterica,,Newport,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type",
2008,1,5,0,0,Kansas,,,,,Restaurant - other or unknown type,
1998,12,2,0,0,Ohio,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,"chicken, buffalo wings"
2008,10,6,0,0,Kansas,,,,,Restaurant - other or unknown type,chef salad
2006,8,8,,,Texas,Hepatitis A,,,Confirmed,Office/indoor workplace; School/college/university,
2000,11,4,0,0,Florida,Salmonella enterica,chicken,,Suspected,Restaurant - other or unknown type,"sandwich, chicken"
2004,5,5,0,0,Michigan,,,,,Restaurant - other or unknown type,
2014,10,39,0,0,Minnesota,Norovirus,,,Suspected,Caterer (food prepared off-site from where served),"ice, unspecified"
2001,5,3,,,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,potato skins
2015,11,29,0,0,Florida,Norovirus Genogroup II,,GII_2,Confirmed,Restaurant - Sit-down dining,
2015,11,29,0,0,Texas,,,,,Caterer (food prepared off-site from where served),
2003,1,6,0,0,Florida,Rotavirus,,,Suspected,Restaurant - other or unknown type,"deli meat, multiple"
2007,1,2,0,0,Ohio,,,,,Restaurant - other or unknown type,
2013,1,6,0,0,Florida,Norovirus unknown,iceberg lettuce; tomato,,Suspected,,lettuce based salads
2015,3,2,0,0,New York,Scombroid toxin,"fish, mahi mahi",,Confirmed,Grocery store,"fish, mahi mahi"
2003,4,10,0,0,Michigan,,,,,Restaurant - other or unknown type,
1998,3,2,0,0,Washington,,,,,Restaurant - other or unknown type,
2003,9,41,1,3,Georgia,Salmonella enterica,turkey,,Suspected,Private home/residence; Religious facility,"stuffing, unspecified; turkey, unspecified"
1999,5,4,0,0,Alabama,Salmonella enterica,,Hartford,Confirmed,Restaurant - other or unknown type,
1999,5,13,,,Pennsylvania,,,,,Restaurant - other or unknown type; Grocery store,
2013,9,3,0,0,Colorado,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)","sandwich, roast beef"
2000,12,3,0,0,Maryland,,,,,Restaurant - other or unknown type,
2000,2,12,0,0,Maryland,,,,,Restaurant - other or unknown type,
2008,4,30,0,0,Maine,,,,,,
2003,12,200,,,Iowa,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2010,3,8,0,0,Colorado,Norovirus unknown,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",
2004,3,4,0,0,Missouri,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2001,4,22,0,0,California,,,,,Restaurant - other or unknown type,"steak, prime rib"
2011,5,8,0,0,Arizona,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2005,11,10,,,Florida,Salmonella enterica,,,Confirmed,Private home/residence,other vegetable
2007,3,8,0,3,Pennsylvania,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),jerky
2003,8,3,1,,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Restaurant - other or unknown type,"chicken, unspecified"
1999,7,2,0,0,Maryland,,,,,,
2007,9,3,,,Florida,,,,,Grocery store,"crackers, unspecified"
2001,2,2,,,Florida,,,,,Restaurant - other or unknown type,"sushi, unspecified"
2010,2,7,0,0,Maryland,,,,,,
2007,2,43,0,0,South Carolina,Norovirus Genogroup II; Norovirus Genogroup I,,unknown; unknown,Confirmed; Confirmed,Restaurant - other or unknown type,
1998,4,65,0,0,Louisiana,Clostridium perfringens,,,Confirmed,Prison/jail,"beets, unspecified; pudding, bread"
2004,9,42,,1,Florida,,,,,Caterer (food prepared off-site from where served),"cake, unspecified"
1998,9,50,0,,Maryland,Salmonella enterica,,Enteritidis,Confirmed,Private home/residence; Caterer (food prepared off-site from where served),"cake, unspecified"
2013,10,3,0,2,Maryland,Trichinella spiralis,bear,,Confirmed,Private home/residence,"bear, unspecified"
2002,3,25,,,Virginia,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2006,5,9,0,0,New York,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,
2011,7,7,0,0,Maryland,,,,,Restaurant - Sit-down dining,chips and salsa
2011,4,7,0,0,Puerto Rico,Ciguatoxin,,,Confirmed,Private home/residence,"fish, king mackarel"
2011,10,40,0,1,Colorado,Clostridium perfringens,rice,,Suspected,,rice
2015,12,4,0,0,Iowa,Salmonella enterica,,Reading,Confirmed,Grocery store,turkey
2000,8,41,0,11,Ohio,Salmonella enterica,egg,Enteritidis,Confirmed,Restaurant - other or unknown type,"shell egg, other"
2010,4,3,0,1,California,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2005,4,27,0,3,South Carolina,Norovirus unknown,,,Confirmed,Caterer (food prepared off-site from where served),"dips, unspecified"
2014,2,24,1,2,California,Norovirus unknown,,,Confirmed,Restaurant - Sit-down dining,lettuce based salads
2014,8,5,0,3,Colorado,Cleaning agents,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",milkshake
2014,1,225,0,0,Georgia,Clostridium perfringens,,,Suspected,Caterer (food prepared off-site from where served),
2010,5,58,0,0,Missouri,,,,,Private home/residence,"pork, bbq"
2009,4,9,0,0,California,Norovirus Genogroup II,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2004,6,2,0,1,Georgia,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,
2004,12,39,,,Illinois,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Other (describe in remarks),water
2003,5,9,0,0,Michigan,,,,,Restaurant - other or unknown type,
2002,6,18,0,0,California,Norovirus Genogroup I,chicken,,Confirmed,Grocery store,"chicken, unspecified"
2006,7,21,0,0,Oklahoma,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,unspecified vegetables; lettuce based salads; shrimp dishes unspecified
2005,3,22,0,2,Kansas,,,,,Long-term care/nursing home/assisted living facility,
2004,12,37,0,0,Missouri,,,,,Restaurant - other or unknown type,
2006,12,4,0,0,Florida,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2001,3,3,,,Hawaii,Scombroid toxin,fin fish,,Confirmed,Unknown,"fish, mahi mahi"
1998,9,18,0,0,Virginia,Other - Virus,,,Suspected,Other (describe in remarks),"salad, unspecified"
2003,2,16,0,0,Multistate,Salmonella enterica,,Saintpaul,Confirmed,Grocery store; Other (describe in remarks),alfalfa sprouts
2009,1,2,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - Sit-down dining,buffet
2002,6,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"ground beef, cheeseburger"
2010,2,14,0,0,Minnesota,Norovirus,,,Suspected,Restaurant - Sit-down dining,
2002,4,5,0,0,Hawaii,Scombroid toxin,,,Confirmed,Restaurant - other or unknown type,"fish, mahi mahi"
2002,8,19,,,California,Staphylococcus aureus,,,Confirmed,Private home/residence,"fried rice, unspecified"
2013,11,33,0,6,Multistate,Salmonella enterica,,Javiana,Confirmed,,"fish, tilapia"
2000,5,17,0,0,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"chicken, bbq"
2003,7,26,0,0,Alaska,,,,,Restaurant - other or unknown type,"oil, unspecified"
1998,6,4,0,0,Florida,Vibrio parahaemolyticus,"oysters, raw",,Suspected,Other (describe in remarks),"oysters, raw"
2015,6,24,0,1,Illinois,Norovirus Genogroup I,,,Confirmed,Restaurant - Sit-down dining,
2000,6,3,0,0,Maryland,,,,,Restaurant - other or unknown type,
2003,4,2,,,Florida,,,,,Restaurant - other or unknown type,"hot dog, beef"
1999,8,2,0,1,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"chicken, fried"
2000,1,2,0,0,Illinois,,,,,Restaurant - other or unknown type,
2005,3,11,0,0,California,Norovirus Genogroup I,,,Suspected,Office/indoor workplace,
2011,12,6,0,0,California,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2013,7,94,0,22,Arizona,"Escherichia coli, Shiga toxin-producing",lettuce,O157:H7,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",lettuce
2005,11,48,0,2,Illinois,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
1999,6,48,0,0,Alabama,,,,,Restaurant - other or unknown type,
2006,1,11,0,0,Minnesota,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, ham"
1998,4,2,0,0,Ohio,,,,,Restaurant - other or unknown type,"chicken, kung pao"
2014,8,2,0,0,California,Vibrio parahaemolyticus,oysters,,Confirmed,Restaurant - Sit-down dining,oysters
2000,8,2,,,Alabama,,,,,Restaurant - other or unknown type,"sauces, unspecified; chicken, unspecified"
1999,4,3,,,Alabama,,,,,Restaurant - other or unknown type,
2004,12,2,0,0,North Dakota,Salmonella enterica,,Newport,Confirmed,Other (describe in remarks),"turkey, smoked"
2004,5,5,0,,Georgia,Salmonella enterica,,Typhimurium,Confirmed,Private home/residence,
2012,4,29,0,0,Ohio,Norovirus Genogroup I,lettuce; mesclun mix; spinach,GI_7,Confirmed,Caterer (food prepared off-site from where served),mesclun mix and spinach
2007,8,46,,,Multistate,"Escherichia coli, Shiga toxin-producing",ground beef,O157:H7,Confirmed,Private home/residence,ground beef
2004,2,27,,,Florida,Salmonella enterica,,unknown,Suspected,Religious facility,multiple foods
2007,7,4,0,0,California,Bacillus cereus; Staphylococcus aureus,,,Suspected; Suspected,Restaurant - other or unknown type,
2004,1,94,0,0,Florida,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,multiple foods
2015,11,8,0,0,Idaho,Campylobacter,,,Confirmed,,"cheese, unspecified, unpasteurized"
2004,5,35,0,0,California,Norovirus Genogroup I,,,Suspected,Other (describe in remarks),multiple foods
2007,1,6,0,0,Florida,,,,,Restaurant - other or unknown type,
2002,6,4,0,0,Florida,,,,,Restaurant - other or unknown type,
1998,4,2,0,0,Ohio,,,,,Restaurant - other or unknown type,
2002,3,10,0,2,Virginia,Salmonella enterica,,Newport,Confirmed,Private home/residence,"turkey, roasted"
2011,5,4,0,0,Pennsylvania,Staphylococcus aureus,,,Suspected,,
2013,12,7,0,0,Tennessee,Norovirus Genogroup II,,GII_7,Suspected,Restaurant - Sit-down dining,
2003,6,227,0,9,Illinois,Salmonella enterica,,Javiana,Confirmed,Restaurant - other or unknown type,"fajita, chicken; taco, chicken"
2001,9,43,,4,Arkansas,Staphylococcus aureus,pork,,Confirmed,Restaurant - other or unknown type,"ham, unspecified"
2008,10,594,0,31,California,Salmonella enterica,melon,Javiana,Confirmed,Other (describe in remarks),watermelon
1999,8,13,0,0,California,Other - Virus,,,Suspected,Restaurant - other or unknown type,potato salad
2007,3,2,,,Florida,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,"seafood dish, unspecified"
2002,8,27,,,Massachusetts,Salmonella enterica; Salmonella enterica,,Hadar; Adelaide,Confirmed; Confirmed,Restaurant - other or unknown type,
2003,1,3,0,0,Alabama,,,,,Restaurant - other or unknown type,"ground beef, hamburger"
2006,8,2,0,0,Maryland,,,,,Restaurant - other or unknown type,
2005,7,39,,,California,Other - Bacterium,,,Suspected,Camp,"burrito, bean"
2003,4,2,0,0,Michigan,,,,,Restaurant - other or unknown type,
2015,7,4,0,0,Maryland,Norovirus Genogroup II,,GII_17 Kawasaki (2014),Confirmed,Restaurant - Sit-down dining,sushi
2007,5,3,0,0,Hawaii,Ciguatoxin,fin fish,,Confirmed,Office/indoor workplace,"fish, wahanui"
2002,10,5,0,2,Florida,Rotavirus,fin fish,,Suspected,Restaurant - other or unknown type,tuna salad
2014,7,8,0,0,New York,Campylobacter jejuni,raw milk,,Confirmed,Other (describe in remarks),raw milk
1999,3,8,0,0,Pennsylvania,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),
2001,5,4,0,0,Maryland,"Staphylococcus aureus; Streptococcus Group B, C or G",,,Confirmed; Confirmed,Restaurant - other or unknown type,
2002,8,34,0,0,North Carolina,,,,,Restaurant - other or unknown type,"lettuce, unspecified"
2001,6,2,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, kole"
2006,1,2,,,Florida,Staphylococcus unknown,,,Suspected,Restaurant - other or unknown type,"sandwich, deli"
1999,7,21,0,1,Illinois,,,,,Restaurant - other or unknown type,"fish, amberjack"
2000,2,9,0,0,Maine,,,,,Restaurant - other or unknown type,
2007,1,28,0,4,Maine,Norovirus Genogroup I,,,Confirmed,,
2009,9,3,0,0,New Mexico,,,,,Caterer (food prepared off-site from where served),
2005,12,13,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
1998,3,2,0,,Florida,,,,,Restaurant - other or unknown type,"rice, unspecified; beans, unspecified"
2010,7,24,,,Multistate,Salmonella enterica,,Newport,Confirmed,,tomatoes
2013,8,2,0,0,Puerto Rico,Ciguatoxin,,,Suspected,Restaurant - Sit-down dining,"fish, swordfish"
2014,11,5,0,0,Washington,Bacillus cereus,,,Suspected,Restaurant - Sit-down dining,pork fried rice
2013,5,4,0,0,Florida,Scombroid toxin,tuna,,Confirmed,,yellow fin tuna
2000,3,36,0,0,Indiana,Norovirus Genogroup I,,,Confirmed,School/college/university,
1999,5,127,0,0,Nebraska,Norovirus Genogroup II,,other,Confirmed,Restaurant - other or unknown type,"dips, unspecified"
2003,1,7,0,0,Washington,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"burrito, bean"
2007,2,24,0,3,California,Salmonella enterica,,Montevideo,Confirmed,Restaurant - other or unknown type; Private home/residence; Other (describe in remarks),bean sprouts
1998,4,2,0,0,Washington,,,,,Restaurant - other or unknown type,
2012,3,24,,,Multistate,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,School/college/university,leaf lettuce
1998,8,85,,,Idaho,Norovirus Genogroup I,,,Suspected,,"sandwich, turkey"
2002,6,15,0,1,California,Salmonella enterica,,Typhimurium,Confirmed,Unknown,
2009,7,26,0,0,Maryland,,,,,Restaurant - Sit-down dining,
1999,6,2,0,0,Florida,,,,,,"mashed potato/gravy; chicken, unspecified"
2009,12,9,0,0,California,Norovirus Genogroup II,,,Suspected,Restaurant - Sit-down dining,rice; guacamole; salsa
2001,3,26,0,0,Indiana,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2008,5,4,0,0,California,Norovirus Genogroup I,,unknown,Suspected,Restaurant - other or unknown type,
2007,12,9,,,Texas,,,,,,
2012,12,10,0,0,California,,,,,Restaurant - Sit-down dining,"cheese; yogurt, unspecified"
2002,8,2,0,1,Florida,"Escherichia coli, Enteropathogenic",,,Suspected,Restaurant - other or unknown type,"ground beef, other"
2012,12,4,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - Sit-down dining,"romaine lettuce, unspecified"
2001,5,2,0,0,Ohio,Bacillus cereus; Staphylococcus aureus,,,Suspected; Suspected,Restaurant - other or unknown type,
2008,3,18,,,Florida,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),"sandwich, club"
2001,5,2,0,0,Minnesota,Scombroid toxin,fin fish,,Confirmed,Restaurant - other or unknown type,tuna salad
2006,2,4,0,0,Maryland,,,,,Private home/residence; Other (describe in remarks),
1998,4,3,0,0,Florida,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,"rice, yellow"
2008,3,5,0,0,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Restaurant - other or unknown type; Private home/residence,mutiple mexican foods
2007,11,11,0,0,California,Campylobacter unknown,milk,,Confirmed,Other (describe in remarks),raw milk
2004,2,17,0,1,Illinois,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2012,8,17,0,1,Illinois,Salmonella enterica,,"I 4,[5],12:i:-",Confirmed,Restaurant - Sit-down dining,
2005,11,18,0,5,Multistate,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Private home/residence; Other (describe in remarks),"whole milk, unpasteurized"
2008,12,5,0,0,Illinois,,,,,Private home/residence,pasta salad
2012,1,11,0,0,Florida,Norovirus Genogroup II,,,Suspected,Restaurant - Sit-down dining,
2003,2,4,,,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
1998,9,3,,,Michigan,,,,,Restaurant - other or unknown type,"onion, unspecified"
2005,9,4,0,0,Oregon,Salmonella enterica,,Heidelberg,Confirmed,Religious facility,
2005,9,34,,12,Multistate,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Other (describe in remarks),"lettuce, prepackaged"
1998,12,5,0,0,New York,,,,,Restaurant - other or unknown type,"salad, unspecified"
2000,3,11,0,0,Michigan,,,,,Restaurant - other or unknown type; Private home/residence,
2009,5,19,0,0,Virginia,Staphylococcus aureus,,,Confirmed,Private home/residence; Religious facility,egg salad/egg salad sandwich
1999,6,25,0,0,Michigan,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, submarine"
2000,11,8,,,Georgia,Salmonella enterica; Yersinia enterocolitica,,Group B; ,Confirmed; Confirmed,Private home/residence,"pork, chitterlings"
2000,6,11,0,0,Illinois,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2004,2,2,0,0,Alabama,,,,,Restaurant - other or unknown type,
2014,1,4,0,1,California,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - Sit-down dining,
2010,10,4,0,0,Florida,Salmonella unknown,egg,,Confirmed,Restaurant - Sit-down dining,"pastry, unspecified"
1999,4,12,0,1,Ohio,,,,,Private home/residence,"ground beef, unspecified"
2008,12,14,0,3,Pennsylvania,Salmonella enterica,egg,Enteritidis,Confirmed,Private home/residence,other food
2001,11,105,0,0,Ohio,Norovirus unknown,,,Confirmed,Other (describe in remarks),"chicken, unspecified; unspecified vegetables"
1999,8,2,0,0,Maryland,,,,,Restaurant - other or unknown type,
2012,8,3,0,0,California,Scombroid toxin,tuna,,Confirmed,Restaurant - other or unknown type,tuna burger
2006,2,6,,,California,Other - Bacterium,,,Suspected,Restaurant - other or unknown type,
2013,8,2,0,0,New York,Scombroid toxin,tuna,,Confirmed,Restaurant - Sit-down dining,tuna burger
2001,6,4,0,0,Washington,,,,,Restaurant - other or unknown type,"cantaloupe; pineapple, unspecified"
2015,12,16,0,0,Wisconsin,Norovirus Genogroup II,,GII_2,Confirmed,Private home/residence,salsa
2006,10,4,0,0,California,Other - Chemical/Toxin,,,Suspected,Restaurant - other or unknown type,multiple foods
2009,6,15,0,0,Ohio,,,,,Unknown,
2004,4,8,0,0,Virginia,Norovirus unknown,,,Suspected,Caterer (food prepared off-site from where served),pasta salad
2008,1,8,0,0,Florida,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
1998,10,3,0,0,New York,,,,,Restaurant - other or unknown type,"rice, unspecified; fried rice, unspecified"
2007,5,2,0,0,Colorado,Salmonella enterica,,Poona,Confirmed,School/college/university,
2000,4,2,,,Florida,,,,,Restaurant - other or unknown type,"pizza, unspecified"
2011,7,10,0,1,Illinois,Shigella sonnei,,,Confirmed,Private home/residence,
2007,1,30,0,0,Maine,,,,,,
2005,5,5,0,0,Michigan,,,,,Restaurant - other or unknown type,bean dip
2005,1,34,0,0,Massachusetts,,,,,Grocery store,"sandwich, deli"
1999,5,9,0,0,Wisconsin,Norovirus Genogroup I,,,Confirmed,Office/indoor workplace,
2005,4,10,0,0,Oregon,Salmonella enterica,,Paratyphi B,Confirmed,Restaurant - other or unknown type,lettuce-based salads unspecified
1998,8,5,,,New York,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,macaroni salad
2002,6,146,,7,New York,Salmonella enterica,,Enteritidis,Confirmed,Banquet Facility (food prepared and served on-site),multiple foods
2003,6,12,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2004,9,7,0,7,Oregon,Mycotoxins,,,Confirmed,Private home/residence,"soup, mushroom"
2002,12,7,0,0,Connecticut,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),antipasta salad
2014,2,60,0,2,Washington,Norovirus unknown,,,Confirmed,Restaurant - Sit-down dining,
2014,2,2,0,0,Ohio,Norovirus Genogroup II,,GII_4 Sydney (2012),Suspected,Restaurant - Sit-down dining,
2001,10,40,0,0,Minnesota,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,vegetable-based salads unspecified
2003,4,2,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2009,9,22,0,1,Ohio,Salmonella enterica,,Enteritidis,Confirmed,Private home/residence,"pasta, unspecified"
2015,6,3,0,0,Minnesota,Clostridium perfringens,,,Suspected,Restaurant - Sit-down dining,beef/bean mixture
1999,11,2,0,2,Florida,Salmonella enterica,chicken,,Confirmed,Restaurant - other or unknown type,"deli meat, sliced chicken"
2011,12,5,0,5,New York,Salmonella enterica,roast beef; lettuce,Hartford,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",roast beef; lettuce
2002,12,4,0,0,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Restaurant - other or unknown type,
2005,10,2,0,0,Georgia,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"hot dog, unspecified"
2012,4,25,0,0,Minnesota,Sapovirus,,,Confirmed,Other (describe in remarks),
2007,2,12,,,Illinois,,,,,Banquet Facility (food prepared and served on-site),
1998,4,2,0,0,Florida,,,,,Restaurant - other or unknown type,"chicken, nuggets/fingers"
2003,5,39,,,New York,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type; Private home/residence,
2004,8,2,0,0,Ohio,,,,,Restaurant - other or unknown type,vegetable-based salads unspecified
1999,4,140,0,0,Alabama,Bacillus cereus,,,Confirmed,School/college/university,
2006,5,15,0,1,Tennessee,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type; Grocery store; Office/indoor workplace,
2009,7,6,0,0,California,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - Sit-down dining,
2012,12,29,0,0,Virginia,Norovirus,,,Confirmed,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),
2003,8,30,0,3,Illinois,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,
2000,1,3,0,0,Alabama,,,,,Restaurant - other or unknown type,
2000,6,28,,,Massachusetts,Vibrio parahaemolyticus,,,Suspected,Restaurant - other or unknown type,"sandwich, lobster roll"
2001,5,7,0,0,California,,,,,Restaurant - other or unknown type,
2012,2,4,0,0,Iowa,,,,,,
2004,9,33,0,0,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Prison/jail,"beans, unspecified"
2014,6,4,1,2,Massachusetts,"Escherichia coli, Shiga toxin-producing",ground beef,O157:H7,Confirmed,Private home/residence,ground beef
2010,10,13,0,0,Colorado,,,,,,
2007,3,10,0,0,Rhode Island,Norovirus unknown,,,Confirmed,Banquet Facility (food prepared and served on-site),
2010,3,25,0,0,Multistate,Campylobacter jejuni,"milk, whole milk unpasteurized",,Confirmed,Other (describe in remarks),"milk, whole milk unpasteurized"
2010,7,4,0,0,Arizona,Norovirus Genogroup II,,,Confirmed,,
2004,3,61,0,1,Florida,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),
2009,3,14,0,1,Michigan,,chicken,,,Restaurant - Sit-down dining,salads
2009,7,4,0,0,Florida,Ciguatoxin,"fish,other",,Confirmed,Private home/residence,red grouper
1998,7,2,0,2,Wisconsin,Mycotoxins,,,Confirmed,Private home/residence,"mushrooms, unspecified"
1998,5,2,,,Michigan,,,,,,"sandwich, turkey club; spinach, unspecified"
2005,6,6,0,0,California,Campylobacter jejuni,,,Suspected,Private home/residence,
2002,10,4,0,4,Ohio,Mycotoxins,,,Confirmed,Private home/residence,"mushrooms, unspecified"
2001,8,3,0,0,Oregon,Vibrio parahaemolyticus,,,Confirmed,Restaurant - other or unknown type,"oysters, raw"
2001,9,25,,,South Carolina,Norovirus Genogroup I,,,Suspected,Long-term care/nursing home/assisted living facility,
2003,8,50,0,7,California,Salmonella enterica,cheese,Typhimurium,Confirmed,Grocery store; Other (describe in remarks),"queso fresco, unpasteurized"
2000,2,2,0,0,Michigan,,,,,Restaurant - other or unknown type,"sandwich, chicken"
2008,12,6,0,1,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2005,12,23,0,0,West Virginia,Staphylococcus aureus,,,Confirmed,Prison/jail,"sweet potato, unspecified; stuffing, unspecified; turkey and gravy; turkey, roasted; green beans, unspecified"
2006,1,76,0,0,Minnesota,Clostridium perfringens,,,Suspected,Prison/jail,"turkey, unspecified; gravy, unspecified"
2002,4,6,0,0,Florida,,,,,Restaurant - other or unknown type,guacamole
2006,4,25,0,0,New Hampshire,Norovirus unknown,,,Suspected,Private home/residence; Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served); Grocery store,
2003,5,72,,,California,Clostridium perfringens,,,Suspected,Private home/residence; Caterer (food prepared off-site from where served); Religious facility,multiple foods
2010,1,2,0,0,Kansas,,,,,Restaurant - Sit-down dining,
2015,11,24,0,0,Wisconsin,Norovirus Genogroup II,,GII_2,Confirmed,Other (describe in remarks),
1998,4,2,0,0,Ohio,Bacillus cereus,,,Confirmed,Restaurant - other or unknown type,rice
2000,12,5,0,0,Florida,,pork,,,Grocery store,"ham, unspecified"
2002,3,4,,,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"potato, fried; french fries"
2012,3,84,0,0,Massachusetts,,,,,Other (describe in remarks),
2009,11,35,,,Multistate,Salmonella enterica,,Heidelberg,Confirmed,Private home/residence,chicken
1999,7,62,0,1,Missouri,Cyclospora cayatenensis,spices,,Confirmed,Caterer (food prepared off-site from where served),"basil, unspecified"
2002,5,7,0,0,Maryland,,,,,Restaurant - other or unknown type,
2015,6,20,0,1,New York,Giardia intestinalis; Cryptosporidium parvum,,Assemblage B; ,Confirmed; Confirmed,Grocery store,
2001,8,3,,,Florida,,,,,Restaurant - other or unknown type,
2000,9,12,,0,Utah,Salmonella enterica,egg,Enteritidis,Confirmed,Restaurant - other or unknown type,"taco, fish; egg-based sauce, other"
2008,7,30,0,0,Vermont,,,,,Camp,
2004,5,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"chicken, unspecified"
2010,1,11,0,0,California,Norovirus unknown,,,Suspected,Banquet Facility (food prepared and served on-site),
1998,2,2,0,0,Michigan,,,,,Restaurant - other or unknown type,unspecified fish; french fries
2012,2,8,0,0,Utah,Campylobacter jejuni,,,Confirmed,,
1998,6,2,0,1,Florida,Salmonella enterica,,,Suspected,Grocery store,"potato, mashed"
2003,10,2,0,0,Illinois,,,,,Restaurant - other or unknown type,
2004,3,15,0,0,California,Norovirus Genogroup I,,,Suspected,Other (describe in remarks),
2002,11,17,0,0,Pennsylvania,Clostridium perfringens,chicken,,Suspected,Restaurant - other or unknown type,"chicken, unspecified"
2003,8,18,0,2,Multistate,Salmonella enterica,,Javiana,Confirmed,Unknown,
2004,4,10,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2001,11,2,0,0,California,,,,,Restaurant - other or unknown type,
2005,8,2,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, ulua"
2014,1,3,0,0,Florida,,,,,Restaurant - Sit-down dining,
2004,2,21,0,0,Missouri,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"crab cakes; mushrooms, unspecified"
